,dataset,method,train_or_test,corr_min,corr_max,corr_mean,corr_std,return,sigma,sharpe,information,modigliani
43,indextrack3,MVOvolatility,test,-0.8753339849581889,0.9865149587788612,0.3677510808371258,0.5022091624390486,0.8550394439246283,0.22997795109557181,3.679219855180806,3.7231643971278823,0.85053169516891
44,indextrack3,MVOrisk,train,-0.6941546382980734,0.9913851551545559,0.49905223477423205,0.42252417916798757,0.807000547474814,0.3006217473882336,2.6548330398868933,2.680356966410604,0.8050597087008803
45,indextrack3,MVOrisk,test,-0.8753339849581889,0.9865149587788612,0.3677510808371258,0.5022091624390486,0.8550394439246283,0.22997795109557181,3.679219855180806,3.7231643971278823,0.85053169516891
46,indextrack3,MVOreturn,train,-0.6941546382980734,0.9913851551545559,0.49905223477423205,0.42252417916798757,0.807000547474814,0.3006217473882336,2.6548330398868933,2.680356966410604,0.8050597087008803
47,indextrack3,MVOreturn,test,-0.8753339849581889,0.9865149587788612,0.3677510808371258,0.5022091624390486,0.8550394439246283,0.22997795109557181,3.679219855180806,3.7231643971278823,0.85053169516891
48,indextrack3,MVOsharpe,train,-0.6941546382980734,0.9913851551545559,0.49905223477423205,0.42252417916798757,0.807000547474814,0.3006217473882336,2.6548330398868933,2.680356966410604,0.8050597087008803
49,indextrack3,MVOsharpe,test,-0.8753339849581889,0.9865149587788612,0.3677510808371258,0.5022091624390486,0.8550394439246283,0.22997795109557181,3.679219855180806,3.7231643971278823,0.85053169516891
50,indextrack3,CLAvolatility,train,-0.6941546382980734,0.9913851551545559,0.49905223477423205,0.42252417916798757,0.807000547474814,0.3006217473882336,2.6548330398868933,2.680356966410604,0.8050597087008803
51,indextrack3,CLAvolatility,test,-0.8753339849581889,0.9865149587788612,0.3677510808371258,0.5022091624390486,0.8550394439246283,0.22997795109557181,3.679219855180806,3.7231643971278823,0.85053169516891
52,indextrack3,CLAsharpe,train,-0.6941546382980734,0.9913851551545559,0.49905223477423205,0.42252417916798757,0.807000547474814,0.3006217473882336,2.6548330398868933,2.680356966410604,0.8050597087008803
53,indextrack3,CLAsharpe,test,-0.8753339849581889,0.9865149587788612,0.3677510808371258,0.5022091624390486,0.8550394439246283,0.22997795109557181,3.679219855180806,3.7231643971278823,0.85053169516891
54,indextrack3,HRP,train,-0.6941546382980734,0.9913851551545559,0.49905223477423205,0.42252417916798757,0.21953585227690037,0.31511299612960214,0.6684454619899853,0.7214275386411587,0.20936056995096214
55,indextrack3,HRP,test,-0.8753339849581889,0.9865149587788612,0.3677510808371258,0.5022091624390486,0.6490413739698716,0.23611493249441434,2.7111431166472926,2.822637250328406,0.6290814696929141
56,indextrack4,MVOvolatility,train,-0.9378494146003361,0.9760585258359149,0.41833696480265675,0.43101456989633313,0.7260771647331066,0.19802240070441696,3.6216971523520654,3.660840331843208,0.7243773855442973
57,indextrack4,MVOvolatility,test,-0.8644365395422681,0.9894426812558816,0.43009692724201387,0.5027902956834222,1.269428031332861,0.2898478605469177,4.348929914315581,4.385290838753298,1.2628623485590715
